Year,Flag,Lat,Lon,ALB,BET,BKJ,BZX,FRZ,PBF,SKJ,TUN,YFT
1960,USA,21.5,-106.5,0,0,0,0,0,0,0,0,371
1960,USA,21.5,-105.5,0,0,0,0,0,0,0,0,0
1960,USA,22.5,-109.5,0,0,0,0,0,0,0,0,0
1960,USA,22.5,-108.5,0,0,0,0,0,0,0,0,10.9
1960,USA,22.5,-107.5,0,0,0,0,0,0,0,0,0
1960,USA,22.5,-106.5,0,0,0,0,0,0,0,0,0
1960,USA,23.5,-107.5,0,0,0,0,0,0,0,0,27.2
1960,USA,23.5,-106.5,0,0,0,0,0,0,0,0,2.7
1960,USA,32.5,-119.5,0,0,0,0,0,19,0,0,0
1960,MEX,23.5,-110.5,0,0,0,0,0,0,0,0,4.5
1960,MEX,23.5,-107.5,0,0,0,0,0,0,0,0,1.8
1960,MEX,24.5,-110.5,0,0,0,0,0,0,0,0,2.7
1960,MEX,24.5,-109.5,0,0,0,0,0,0,0,0,9.1
1960,USA,-17.5,-71.5,0,0,0,0,0,0,0,0,156
1960,USA,-4.5,-81.5,0,0,0,0,0,0,108.9,0,0
1960,USA,7.5,-83.5,0,0,0,0,0,0,0,0,92.5
1960,USA,8.5,-84.5,0,0,0,0,0,0,0,0,102.6
1960,USA,8.5,-83.5,0,0,0,0,0,0,0,0,13.6
1960,USA,9.5,-84.5,0,0,0,0,0,0,0,0,2.7
1960,USA,10.5,-86.5,0,0,0,0,0,0,0,0,0
1960,USA,14.5,-99.5,0,0,0,0,0,0,0,0,65.4
1960,USA,14.5,-98.5,0,0,0,0,0,0,0,0,190.6
1960,USA,14.5,-97.5,0,0,0,0,0,0,0,0,49.9
1960,USA,15.5,-99.5,0,0,0,0,0,0,0,0,49.9
1960,USA,15.5,-98.5,0,0,0,0,0,0,0,0,90.7
1960,USA,15.5,-97.5,0,0,0,0,0,0,0,0,41.7
1960,USA,16.5,-102.5,0,0,0,0,0,0,0,0,129.5
1960,USA,16.5,-101.5,0,0,0,0,0,0,0,0,707.6
1960,USA,16.5,-100.5,0,0,0,0,0,0,0,0,74.2
1960,USA,16.5,-99.5,0,0,0,0,0,0,0,0,160.6
1960,USA,17.5,-103.5,0,0,0,0,0,0,0,0,0
1960,USA,17.5,-102.5,0,0,0,0,0,0,0,0,44.5
1960,USA,17.5,-101.5,0,0,0,0,0,0,0,0,292
1960,USA,17.5,-100.5,0,0,0,0,0,0,0,0,36.3
1960,USA,18.5,-104.5,0,0,0,0,0,0,0,0,94.3
1960,USA,18.5,-103.5,0,0,0,0,0,0,0,0,9.1
1960,USA,19.5,-106.5,0,0,0,0,0,0,0,0,0
1960,USA,19.5,-105.5,0,0,0,0,0,0,0,0,29.9
1960,USA,20.5,-106.5,0,0,0,0,0,0,0,0,10.9
1960,USA,20.5,-105.5,0,0,0,0,0,0,0,0,131.5
1960,USA,21.5,-106.5,0,0,0,0,0,0,0,0,324
