Year,Flag,Lat,Lon,BSH,CCL,FAL,MAK,OCS,RSK,SKH,SMA,SPN,THR
1981,TWN,-22.5,-117.5,0,0,0,0,0,0,0.07,0,0,0
1981,TWN,-17.5,-127.5,0,0,0,0,0,0,0.98,0,0,0
1981,TWN,-17.5,-122.5,0,0,0,0,0,0,3.13,0,0,0
1981,TWN,-17.5,-117.5,0,0,0,0,0,0,1.07,0,0,0
1981,KOR,-22.5,-142.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-22.5,-137.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-17.5,-147.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-17.5,-137.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-12.5,-142.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-12.5,-137.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-7.5,-142.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-7.5,-112.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-2.5,-107.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,17.5,-147.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,17.5,-142.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,22.5,-142.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,22.5,-107.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,27.5,-147.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,27.5,-142.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,27.5,-137.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,27.5,-132.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,32.5,-142.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,32.5,-137.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,32.5,-132.5,0,0,0,0,0,0,0,0,0,0
1981,MEX,17.5,-97.5,0,0,0,0,0,0,0,0,0,0
1981,TWN,-17.5,-132.5,0,0,0,0,0,0,0.16,0,0,0
1981,TWN,-17.5,-127.5,0,0,0,0,0,0,0.89,0,0,0
1981,TWN,-12.5,-142.5,0,0,0,0,0,0,0.49,0,0,0
1981,TWN,-12.5,-127.5,0,0,0,0,0,0,0.25,0,0,0
1981,TWN,-7.5,-147.5,0,0,0,0,0,0,2.83,0,0,0
1981,KOR,-42.5,-142.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-37.5,-147.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-37.5,-142.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-37.5,-137.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-32.5,-147.5,0,0,0,0,0,0,0,0,0,0
