Year,Flag,Lat,Lon,ALB,BET,BKJ,BZX,PBF,SKJ,TUN,YFT
1979,MEX,20.5,-105.5,0,0,0,0,0,0.7840538,0,1.215946
1979,MEX,23.5,-111.5,0,0,0,0,0,0,0,0.5
1979,USA,19.5,-112.5,0,0,0,0,0,70.54797,0,38.45203
1979,USA,19.5,-106.5,0,0,0,0,0,0,0,3.2
1979,USA,20.5,-113.5,0,0,0,0,0,0.5149497,0,0.3850503
1979,USA,20.5,-106.5,0,0,0,0,0,0,0,2.7
1979,USA,21.5,-109.5,0,0,0,0,0,4.5,0,0
1979,USA,22.5,-111.5,0,0,0,0,0,0.2860832,0,0.2139169
1979,USA,22.5,-110.5,0,0,0,0,0,1.8,0,15.4
1979,USA,22.5,-109.5,0,0,0,0,0,0,0,0.5
1979,USA,23.5,-111.5,0,0,0,0,0,14.30416,0,15.69584
1979,MEX,18.5,-110.5,0,0,0,0,0,0,0,10
1979,MEX,19.5,-112.5,0,0,0,0,0,13,0,6
1979,MEX,21.5,-111.5,0,0,0,0,0,12,0,0
1979,MEX,22.5,-111.5,0,0,0,0,0,0.5,0,0
1979,USA,10.5,-109.5,0,0,0,0,0,2.7,0,13.6
1979,USA,16.5,-117.5,0,0,0,0,0,28.26501,0,21.13498
1979,USA,16.5,-111.5,0,0,0,0,0,21.8299,0,2.570101
1979,USA,18.5,-112.5,0,0,0,0,0,0,0,2.7
1979,USA,18.5,-110.5,0,0,0,0,0,0.9,0,5.4
1979,USA,19.5,-112.5,0,0,0,0,0,95.64294,0,119.1571
1979,USA,19.5,-110.5,0,0,0,0,0,0,0,0.5
1979,USA,21.5,-111.5,0,0,0,0,0,5.686083,0,3.813917
1979,USA,22.5,-111.5,0,0,0,0,0,14.80671,0,10.69329
1979,USA,22.5,-109.5,0,0,0,0,0,0,0,2.7
1979,USA,23.5,-111.5,0,0,0,0,0,3.060832,0,4.439168
1979,MEX,16.5,-117.5,0,0,0,0,0,2,0,0
1979,MEX,19.5,-112.5,0,0,0,0,0,0.3920269,0,1.607973
1979,MEX,19.5,-107.5,0,0,0,0,0,0,0,1
1979,MEX,20.5,-107.5,0,0,0,0,0,1.58804,0,2.91196
1979,MEX,21.5,-108.5,0,0,0,0,0,0.7840538,0,1.215946
1979,MEX,21.5,-107.5,0,0,0,0,0,8.644525,0,26.85548
1979,MEX,21.5,-106.5,0,0,0,0,0,0.7840538,0,52.21595
1979,USA,15.5,-107.5,0,0,0,0,0,0.5721663,0,0.4278337
1979,USA,19.5,-112.5,0,0,0,0,0,26.80775,0,65.49226
1979,USA,19.5,-110.5,0,0,0,0,0,0,0,0.5
1979,USA,19.5,-108.5,0,0,0,0,0,3.719081,0,2.780919
1979,USA,19.5,-106.5,0,0,0,0,0,8.936612,0,10.96339
1979,USA,20.5,-107.5,0,0,0,0,0,7.746914,0,24.75309
1979,USA,20.5,-106.5,0,0,0,0,0,42.26553,0,81.03447
1979,USA,20.5,-105.5,0,0,0,0,0,9.32631,0,14.87369
1979,USA,21.5,-110.5,0,0,0,0,0,12.24436,0,12.75564
1979,USA,21.5,-109.5,0,0,0,0,0,36.96651,0,35.13349
1979,USA,21.5,-108.5,0,0,0,0,0,3.845882,0,7.254118
1979,USA,21.5,-107.5,0,0,0,0,0,8.630416,0,73.66959
1979,USA,21.5,-106.5,0,0,0,0,0,4.119597,0,79.9804
1979,USA,23.5,-111.5,0,0,0,0,0,0,0,4.5
1979,MEX,20.5,-108.5,0,0,0,0,0,59.5,0,16
1979,MEX,21.5,-111.5,0,0,0,0,0,10,0,0
1979,MEX,21.5,-108.5,0,0,0,0,0,16,0,0
1979,MEX,22.5,-111.5,0,0,0,0,0,14,0,7
1979,MEX,22.5,-109.5,0,0,0,0,0,0,0,0.5
1979,USA,19.5,-113.5,0,0,0,0,0,30,0,50
1979,USA,19.5,-112.5,0,0,0,0,0,0,0,10.9
1979,USA,19.5,-108.5,0,0,0,0,0,4.5,0,0.9
1979,USA,20.5,-109.5,0,0,0,0,0,28.2,0,0
1979,USA,20.5,-108.5,0,0,0,0,0,55.9,0,15.3
1979,USA,21.5,-111.5,0,0,0,0,0,131.8242,0,15.67576
1979,USA,21.5,-110.5,0,0,0,0,0,37.15311,0,5.946888
1979,USA,21.5,-109.5,0,0,0,0,0,111.5263,0,49.37369
1979,USA,21.5,-108.5,0,0,0,0,0,92.70269,0,45.49731
1979,USA,22.5,-111.5,0,0,0,0,0,41.64485,0,61.95515
1979,USA,22.5,-110.5,0,0,0,0,0,93.65936,0,58.74064
1979,USA,22.5,-109.5,0,0,0,0,0,83.63979,0,60.36021
1979,USA,22.5,-108.5,0,0,0,0,0,17.24849,0,11.55151
1979,USA,23.5,-111.5,0,0,0,0,0,39.47483,0,37.72517
1979,USA,24.5,-112.5,0,0,0,0,0,1.8,0,0
1979,USA,26.5,-114.5,0,0,0,0,0,14.53302,0,10.86698
