BigCellID,BigCellTypeID,x,y
947,1,-58.5,10.5
948,1,-58.5,11.5
949,1,-58.5,12.5
950,1,-58.5,13.5
951,1,-58.5,14.5
952,1,-58.5,15.5
953,1,-58.5,16.5
954,1,-58.5,17.5
955,1,-58.5,18.5
956,1,-58.5,19.5
957,1,-58.5,20.5
958,1,-58.5,21.5
959,1,-58.5,22.5
960,1,-58.5,23.5
961,1,-58.5,24.5
962,1,-58.5,25.5
963,1,-58.5,26.5
964,1,-58.5,27.5
965,1,-58.5,28.5
966,1,-58.5,29.5
967,1,-58.5,30.5
968,1,-58.5,31.5
969,1,-58.5,32.5
970,1,-58.5,33.5
971,1,-58.5,34.5
972,1,-58.5,35.5
973,1,-58.5,36.5
974,1,-58.5,38.5
975,1,-58.5,39.5
976,1,-58.5,40.5
977,1,-58.5,41.5
978,1,-58.5,42.5
979,1,-57.5,-51.5
980,1,-57.5,-38.5
981,1,-57.5,-37.5
982,1,-57.5,5.5
983,1,-57.5,6.5
984,1,-57.5,7.5
985,1,-57.5,8.5
986,1,-57.5,9.5
987,1,-57.5,10.5
988,1,-57.5,11.5
989,1,-57.5,12.5
990,1,-57.5,13.5
991,1,-57.5,14.5
992,1,-57.5,15.5
993,1,-57.5,16.5
994,1,-57.5,17.5
995,1,-57.5,18.5
996,1,-57.5,19.5
997,1,-57.5,20.5
998,1,-57.5,21.5
999,1,-57.5,22.5
1000,1,-57.5,23.5
1001,1,-57.5,25.5
1002,1,-57.5,26.5
1003,1,-57.5,27.5
1004,1,-57.5,28.5
1005,1,-57.5,30.5
1006,1,-57.5,31.5
1007,1,-57.5,32.5
1008,1,-57.5,33.5
1009,1,-57.5,34.5
1010,1,-57.5,36.5
1011,1,-57.5,38.5
1012,1,-57.5,39.5
1013,1,-57.5,40.5
1014,1,-57.5,41.5
1015,1,-57.5,42.5
1016,1,-57.5,43.5
1017,1,-57.5,57.5
1018,1,-56.5,-51.5
1019,1,-56.5,-38.5
1020,1,-56.5,-37.5
1021,1,-56.5,5.5
1022,1,-56.5,6.5
1023,1,-56.5,7.5
1024,1,-56.5,8.5
1025,1,-56.5,9.5
1026,1,-56.5,10.5
1027,1,-56.5,11.5
1028,1,-56.5,12.5
1029,1,-56.5,13.5
1030,1,-56.5,14.5
1031,1,-56.5,15.5
1032,1,-56.5,16.5
1033,1,-56.5,17.5
1034,1,-56.5,18.5
1035,1,-56.5,19.5
1036,1,-56.5,20.5
1037,1,-56.5,21.5
1038,1,-56.5,22.5
1039,1,-56.5,23.5
1040,1,-56.5,24.5
1041,1,-56.5,25.5
1042,1,-56.5,26.5
1043,1,-56.5,27.5
1044,1,-56.5,28.5
1045,1,-56.5,29.5
1046,1,-56.5,31.5
1047,1,-56.5,32.5
1048,1,-56.5,34.5
1049,1,-56.5,35.5
1050,1,-56.5,36.5
1051,1,-56.5,37.5
1052,1,-56.5,39.5
1053,1,-56.5,40.5
1054,1,-56.5,41.5
1055,1,-56.5,42.5
1056,1,-56.5,43.5
1057,1,-56.5,57.5
1058,1,-55.5,-39.5
1059,1,-55.5,-38.5
1060,1,-55.5,-37.5
